Eval epoch 188, loss: 0.438, acc: 0.722
Epoch 189, loss: 0.451, acc: 0.827
Eval epoch 189, loss: 0.300, acc: 0.833
Epoch 190, loss: 0.457, acc: 0.800
Eval epoch 190, loss: 0.473, acc: 0.778
Epoch 191, loss: 0.480, acc: 0.800
Eval epoch 191, loss: 0.603, acc: 0.778
Epoch 192, loss: 0.431, acc: 0.833
Eval epoch 192, loss: 0.498, acc: 0.778
Epoch 193, loss: 0.439, acc: 0.827
Eval epoch 193, loss: 0.275, acc: 0.833
Epoch 194, loss: 0.467, acc: 0.847
Eval epoch 194, loss: 0.483, acc: 0.833
Epoch 195, loss: 0.427, acc: 0.847
Eval epoch 195, loss: 0.337, acc: 0.778
Epoch 196, loss: 0.434, acc: 0.847
Eval epoch 196, loss: 0.354, acc: 0.833
Epoch 197, loss: 0.452, acc: 0.827
Eval epoch 197, loss: 0.591, acc: 0.722
Epoch 198, loss: 0.467, acc: 0.827
Eval epoch 198, loss: 0.525, acc: 0.667
Epoch 199, loss: 0.457, acc: 0.847
Eval epoch 199, loss: 0.504, acc: 0.778
Epoch 200, loss: 0.495, acc: 0.860
Eval epoch 200, loss: 0.541, acc: 0.722
Epoch 201, loss: 0.418, acc: 0.820
Eval epoch 201, loss: 0.304, acc: 0.833
Epoch 202, loss: 0.441, acc: 0.807
Eval epoch 202, loss: 0.469, acc: 0.778
Epoch 203, loss: 0.471, acc: 0.827
Eval epoch 203, loss: 0.387, acc: 0.833
Epoch 204, loss: 0.574, acc: 0.813
Eval epoch 204, loss: 0.341, acc: 0.833
Epoch 205, loss: 0.496, acc: 0.853
Eval epoch 205, loss: 0.632, acc: 0.611
Epoch 206, loss: 0.479, acc: 0.800
Eval epoch 206, loss: 0.543, acc: 0.778
Epoch 207, loss: 0.479, acc: 0.840
Eval epoch 207, loss: 1.035, acc: 0.667
Epoch 208, loss: 0.950, acc: 0.813
Eval epoch 208, loss: 0.729, acc: 0.778
Epoch 209, loss: 0.506, acc: 0.827
Eval epoch 209, loss: 0.891, acc: 0.667
Epoch 210, loss: 0.493, acc: 0.820
Eval epoch 210, loss: 0.555, acc: 0.667
Epoch 211, loss: 0.468, acc: 0.840
Eval epoch 211, loss: 0.317, acc: 0.833
Epoch 212, loss: 0.448, acc: 0.847
Eval epoch 212, loss: 0.378, acc: 0.778
Epoch 213, loss: 0.458, acc: 0.847
Eval epoch 213, loss: 0.335, acc: 0.833
Epoch 214, loss: 0.655, acc: 0.813
Eval epoch 214, loss: 0.355, acc: 0.833
Epoch 215, loss: 0.460, acc: 0.847
Eval epoch 215, loss: 0.456, acc: 0.778
Epoch 216, loss: 0.408, acc: 0.833
Eval epoch 216, loss: 0.379, acc: 0.778
Epoch 217, loss: 0.497, acc: 0.813
Eval epoch 217, loss: 0.385, acc: 0.778
Epoch 218, loss: 0.445, acc: 0.847
Eval epoch 218, loss: 0.432, acc: 0.778
Epoch 219, loss: 0.509, acc: 0.813
